ProblemID,UserID,RightWrong,SolvingTime
P0000001,U00000001,1,112.3365291
P0000001,U00000002,0,128.291761
P0000001,U00000003,1,113.4568988
P0000001,U00000004,1,102.8753403
P0000001,U00000005,1,90.72815913
P0000001,U00000006,0,126.1250992
P0000001,U00000007,1,98.13114695
P0000001,U00000008,1,121.4356968
P0000001,U00000009,0,112.4514761
P0000001,U00000010,1,113.6836592
P0000001,U00000011,1,81.78570456
P0000001,U00000012,1,97.85621811
P0000001,U00000013,1,128.93935
P0000001,U00000014,1,101.6098122
P0000001,U00000015,1,105.378803
P0000001,U00000016,1,89.49382187
P0000001,U00000017,1,136.0504532
P0000001,U00000018,0,130.85185
P0000001,U00000019,0,102.1574769
P0000001,U00000020,1,128.4711743
P0000002,U00000001,1,108.6645657
P0000002,U00000002,0,112.8040115
P0000002,U00000003,1,110.1614732
P0000002,U00000004,1,112.2632078
P0000002,U00000005,1,114.964417
P0000002,U00000006,0,105.5981662
P0000002,U00000007,1,106.4976755
P0000002,U00000008,1,108.6080564
P0000002,U00000009,1,103.9589037
P0000002,U00000010,1,116.0241447
P0000002,U00000011,1,108.7418431
P0000002,U00000012,1,115.315048
P0000002,U00000013,1,112.4444575
P0000002,U00000014,1,112.7285121
P0000002,U00000015,0,110.6035929
P0000002,U00000016,0,107.2721338
P0000002,U00000017,1,108.1804673
P0000002,U00000018,0,112.374679
P0000002,U00000019,1,111.9921014
P0000002,U00000020,1,110.5324971
P0000003,U00000001,1,29.34500101
P0000003,U00000002,1,33.36601876
P0000003,U00000003,0,45.46464825
P0000003,U00000004,1,36.66844525
P0000003,U00000005,1,42.86298833
P0000003,U00000006,1,31.24448677
P0000003,U00000007,1,30.53074039
P0000003,U00000008,1,38.22043938
P0000003,U00000009,1,34.41811568
P0000003,U00000010,1,29.94930587
P0000003,U00000011,1,33.08420943
P0000003,U00000012,1,40.03339167
P0000003,U00000013,0,33.00800328
P0000003,U00000014,1,34.158064
P0000003,U00000015,0,29.26150149
P0000003,U00000016,1,28.89576909
P0000003,U00000017,1,38.89554541
P0000003,U00000018,1,33.06653338
P0000003,U00000019,1,38.15619097
P0000003,U00000020,0,36.1928411
P0000004,U00000001,1,56.33000444
P0000004,U00000002,0,54.72806422
P0000004,U00000003,0,99.22604857
P0000004,U00000004,1,60.07495589
P0000004,U00000005,0,39.05734482
P0000004,U00000006,1,148.8149817
P0000004,U00000007,1,107.4100617
P0000004,U00000008,0,117.5024697
P0000004,U00000009,0,210.2810682
P0000004,U00000010,1,142.0699252
P0000004,U00000011,1,68.43921396
P0000004,U00000012,1,151.732486
P0000004,U00000013,0,138.0330787
P0000004,U00000014,1,111.1767908
P0000004,U00000015,1,174.9670676
P0000004,U00000016,1,206.7543262
P0000004,U00000017,1,163.1832365
P0000004,U00000018,1,148.7371953
P0000004,U00000019,0,131.2841879
P0000004,U00000020,1,116.1759737
P0000005,U00000001,1,52.19834111
P0000005,U00000002,1,48.09573624
P0000005,U00000003,0,51.06292259
P0000005,U00000004,1,49.61300755
P0000005,U00000005,1,48.08090016
P0000005,U00000006,0,54.61266461
P0000005,U00000007,1,45.28149091
P0000005,U00000008,0,53.53070832
P0000005,U00000009,1,35.70909159
P0000005,U00000010,0,53.14543084
P0000005,U00000011,1,44.65324873
P0000005,U00000012,0,61.03019124
P0000005,U00000013,1,40.0562869
P0000005,U00000014,0,61.30042947
P0000005,U00000015,0,67.27630692
P0000005,U00000016,1,54.81286762
P0000005,U00000017,1,43.71190213
P0000005,U00000018,1,41.4870488
P0000005,U00000019,0,59.93154201
P0000005,U00000020,0,53.5413421
P0000006,U00000001,0,49.7427668
P0000006,U00000002,1,47.47277778
P0000006,U00000003,1,59.56194584
P0000006,U00000004,0,57.30269524
P0000006,U00000005,0,54.03882991
P0000006,U00000006,1,55.27882847
P0000006,U00000007,0,51.4285018
P0000006,U00000008,1,49.95532581
P0000006,U00000009,1,62.60069161
P0000006,U00000010,1,61.35569823
P0000006,U00000011,1,52.98676193
P0000006,U00000012,1,50.95212422
P0000006,U00000013,1,48.25020133
P0000006,U00000014,1,59.86314542
P0000006,U00000015,1,54.83320177
P0000006,U00000016,1,59.06569256
P0000006,U00000017,1,61.65529728
P0000006,U00000018,1,58.55377629
P0000006,U00000019,1,47.27233393
P0000006,U00000020,1,58.9300654
P0000007,U00000001,1,80.07869112
P0000007,U00000002,1,100.5250996
P0000007,U00000003,1,34.59554184
P0000007,U00000004,1,76.8799131
P0000007,U00000005,1,107.6133633
P0000007,U00000006,1,101.3705506
P0000007,U00000007,1,88.90570674
P0000007,U00000008,0,90.20782102
P0000007,U00000009,1,14.67770909
P0000007,U00000010,1,108.4776941
P0000007,U00000011,1,57.63944731
P0000007,U00000012,0,66.8395568
P0000007,U00000013,0,73.63206
P0000007,U00000014,1,96.30107474
P0000007,U00000015,0,63.03191129
P0000007,U00000016,1,68.6260103
P0000007,U00000017,0,84.25061873
P0000007,U00000018,1,54.84403309
P0000007,U00000019,1,29.84219847
P0000007,U00000020,1,85.18858851
P0000008,U00000001,0,40.24705095
P0000008,U00000002,1,39.71241281
P0000008,U00000003,1,41.20894309
P0000008,U00000004,1,40.12982099
P0000008,U00000005,0,38.64775717
P0000008,U00000006,0,43.84271659
P0000008,U00000007,0,42.44738851
P0000008,U00000008,1,40.68503002
P0000008,U00000009,1,42.29143326
P0000008,U00000010,0,36.09095239
P0000008,U00000011,0,39.04935034
P0000008,U00000012,1,36.81173615
P0000008,U00000013,1,43.45442131
P0000008,U00000014,0,42.11961324
P0000008,U00000015,1,41.24778626
P0000008,U00000016,0,39.46410574
P0000008,U00000017,0,37.67736068
P0000008,U00000018,0,40.42894994
P0000008,U00000019,0,41.6079982
P0000008,U00000020,0,42.05189623
P0000009,U00000001,1,41.19934202
P0000009,U00000002,0,40.45390566
P0000009,U00000003,1,50.80703993
P0000009,U00000004,0,52.49461547
P0000009,U00000005,1,55.08219461
P0000009,U00000006,1,45.43164602
P0000009,U00000007,0,47.27794207
P0000009,U00000008,0,58.11205085
P0000009,U00000009,0,49.93162289
P0000009,U00000010,1,55.68674605
P0000009,U00000011,1,49.94438557
P0000009,U00000012,1,32.30506162
P0000009,U00000013,1,46.57835859
P0000009,U00000014,1,43.66789829
P0000009,U00000015,1,53.86079403
P0000009,U00000016,1,40.07364797
P0000009,U00000017,1,50.91725912
P0000009,U00000018,1,47.42110207
P0000009,U00000019,1,55.93767894
P0000009,U00000020,1,40.9994137
P0000010,U00000001,1,71.35768261
P0000010,U00000002,1,77.34154829
P0000010,U00000003,1,82.52898694
P0000010,U00000004,0,93.52154955
P0000010,U00000005,1,64.29241095
P0000010,U00000006,0,83.48937705
P0000010,U00000007,0,117.2902814
P0000010,U00000008,1,92.86771822
P0000010,U00000009,1,76.81069629
P0000010,U00000010,1,93.50769826
P0000010,U00000011,1,120.5083204
P0000010,U00000012,0,86.75573343
P0000010,U00000013,1,69.00168649
P0000010,U00000014,1,79.29925647
P0000010,U00000015,1,88.2750373
P0000010,U00000016,1,88.22383168
P0000010,U00000017,1,83.80011019
P0000010,U00000018,0,129.4532453
P0000010,U00000019,0,112.3437545
P0000010,U00000020,0,38.37662361
P0000011,U00000001,0,99.15739424
P0000011,U00000002,0,82.87856309
P0000011,U00000003,1,100.6002924
P0000011,U00000004,1,85.50405818
P0000011,U00000005,1,80.87977184
P0000011,U00000006,0,82.43181293
P0000011,U00000007,0,90.73913795
P0000011,U00000008,1,109.3811695
P0000011,U00000009,1,81.79638489
P0000011,U00000010,0,100.6905439
P0000011,U00000011,1,75.69385646
P0000011,U00000012,1,78.07052908
P0000011,U00000013,0,84.08502142
P0000011,U00000014,1,87.51177673
P0000011,U00000015,1,90.20795812
P0000011,U00000016,0,79.48894992
P0000011,U00000017,1,92.53695292
P0000011,U00000018,0,83.74550115
P0000011,U00000019,1,81.71868271
P0000011,U00000020,1,96.18165049
P0000012,U00000001,1,44.43409863
P0000012,U00000002,1,146.2958022
P0000012,U00000003,1,129.9312921
P0000012,U00000004,1,69.35221953
P0000012,U00000005,0,188.2710393
P0000012,U00000006,1,87.38126155
P0000012,U00000007,0,99.36814441
P0000012,U00000008,1,149.0890583
P0000012,U00000009,1,149.4087095
P0000012,U00000010,0,87.16298383
P0000012,U00000011,1,112.8544085
P0000012,U00000012,0,108.7687295
P0000012,U00000013,1,153.1047051
P0000012,U00000014,1,161.7702366
P0000012,U00000015,0,143.5167022
P0000012,U00000016,0,159.0246519
P0000012,U00000017,1,155.4119034
P0000012,U00000018,0,160.9067776
P0000012,U00000019,1,125.9147777
P0000012,U00000020,1,105.3572837
P0000013,U00000001,1,108.7365689
P0000013,U00000002,1,106.9978958
P0000013,U00000003,0,95.97729336
P0000013,U00000004,1,97.25214241
P0000013,U00000005,1,107.4781745
P0000013,U00000006,1,114.7671781
P0000013,U00000007,1,99.72852207
P0000013,U00000008,1,124.3437683
P0000013,U00000009,0,94.27860199
P0000013,U00000010,0,100.9308793
P0000013,U00000011,1,79.16405705
P0000013,U00000012,1,95.85541655
